,R64,R32,R16,QF,SF,F,Win
Alcaraz C.,0.9395,0.8903,0.8535,0.778,0.6947,0.6053,0.5107
Zverev A.,0.9013,0.7899,0.6831,0.5448,0.4283,0.3161,0.1342
Djokovic N.,0.807,0.6632,0.577,0.4414,0.3214,0.1128,0.0723
Fritz T.,0.9305,0.7741,0.5462,0.3711,0.2391,0.1197,0.0328
Fils A.,0.8019,0.7006,0.497,0.3463,0.0921,0.0539,0.0287
Auger-Aliassime F.,0.7828,0.6154,0.4727,0.3159,0.1819,0.0923,0.0276
Cobolli F.,0.7868,0.6274,0.4637,0.2492,0.1472,0.0642,0.0178
Tiafoe F.,0.8449,0.7035,0.501,0.2985,0.1576,0.0363,0.0171
Jodar R.,0.7976,0.5988,0.3869,0.2531,0.1149,0.0586,0.0157
Medvedev D.,0.8407,0.6188,0.4274,0.2707,0.1406,0.0327,0.0157
Shelton B.,0.735,0.5169,0.362,0.2009,0.0482,0.0243,0.0124
De Minaur A.,0.793,0.5914,0.4429,0.2519,0.1012,0.0566,0.0122
Musetti L.,0.6894,0.5408,0.3955,0.1629,0.0944,0.0502,0.0104
Nakashima B.,0.7234,0.4834,0.3035,0.1456,0.0762,0.0172,0.0086
Mensik J.,0.7651,0.591,0.3392,0.1888,0.097,0.039,0.0083
Tien L.,0.6504,0.4923,0.2989,0.1596,0.0837,0.0372,0.0081
Ruud C.,0.6471,0.4536,0.251,0.1492,0.0593,0.0294,0.0059
Paul T.,0.7418,0.5281,0.3251,0.0608,0.027,0.0136,0.0056
Lehecka J.,0.6986,0.4642,0.2193,0.1173,0.0267,0.0124,0.0056
Bublik A.,0.7981,0.5067,0.2908,0.0557,0.0284,0.0137,0.005
Rublev A.,0.6349,0.3955,0.205,0.0788,0.0373,0.0072,0.0027
Darderi L.,0.749,0.505,0.2337,0.0755,0.034,0.0143,0.0026
Cerundolo F.,0.7365,0.48,0.2095,0.1159,0.0507,0.0176,0.0024
Vacherot V.,0.6997,0.4247,0.1964,0.0976,0.0361,0.0059,0.0023
Borges N.,0.3496,0.2403,0.1362,0.0578,0.0249,0.0072,0.002
Hurkacz H.,0.681,0.2773,0.1556,0.0591,0.0085,0.0043,0.0019
Norrie C.,0.7138,0.4478,0.213,0.0832,0.0141,0.0056,0.0019
Blockx A.,0.7335,0.4577,0.2008,0.0787,0.0327,0.0098,0.0019
Berrettini M.,0.7308,0.21,0.1346,0.0715,0.0316,0.0057,0.0019
Tirante T.A.,0.6561,0.3131,0.1672,0.0279,0.0105,0.0046,0.0017
Machac T.,0.7215,0.3207,0.1221,0.0522,0.0121,0.0048,0.0017
Michelsen A.,0.7496,0.3328,0.1756,0.06,0.025,0.0037,0.0016
Collignon R.,0.6435,0.2316,0.1118,0.047,0.0163,0.0026,0.001
Van De Zandschulp B.,0.6681,0.2384,0.141,0.0595,0.0167,0.0059,0.001
Molcan A.,0.5419,0.3195,0.1259,0.0566,0.0214,0.0059,0.0009
Tsitsipas S.,0.1981,0.1406,0.0686,0.0325,0.0052,0.0022,0.0008
Bonzi B.,0.4581,0.2518,0.0795,0.0319,0.0097,0.0032,0.0008
Dimitrov G.,0.6106,0.3331,0.0768,0.038,0.0157,0.0047,0.0008
Navone M.,0.193,0.0915,0.0519,0.0211,0.0081,0.0019,0.0008
Khachanov K.,0.6181,0.1912,0.0961,0.0409,0.0147,0.0044,0.0007
Shapovalov D.,0.6543,0.3011,0.105,0.0349,0.0037,0.0014,0.0007
Rinderknech A.,0.6858,0.3358,0.1426,0.0583,0.0194,0.0035,0.0007
Fery A.,0.3106,0.1797,0.0937,0.0235,0.0093,0.0039,0.0007
Cerundolo J.M.,0.3529,0.2082,0.0833,0.0382,0.0132,0.0041,0.0007
Tabilo A.,0.5695,0.2823,0.0632,0.0314,0.0118,0.004,0.0006
Majchrzak K.,0.5106,0.2436,0.0944,0.0407,0.0125,0.002,0.0006
Hanfmann Y.,0.4305,0.2218,0.0496,0.0204,0.0092,0.0034,0.0006
Faria J.,0.4916,0.0376,0.0202,0.0072,0.0028,0.0012,0.0006
Moutet C.,0.5912,0.1753,0.086,0.0197,0.0067,0.0021,0.0006
Munar J.,0.5048,0.2761,0.123,0.0546,0.0189,0.0023,0.0006
Bergs Z.,0.6426,0.408,0.1666,0.0673,0.0194,0.0072,0.0006
Struff J.L.,0.5948,0.2581,0.0975,0.0475,0.0182,0.0053,0.0006
Landaluce M.,0.5627,0.283,0.0663,0.0212,0.0074,0.0008,0.0003
Baez S.,0.2766,0.1251,0.0552,0.0177,0.0069,0.001,0.0003
Atmane T.,0.4952,0.2849,0.1153,0.0487,0.0169,0.0021,0.0003
Cilic M.,0.3651,0.1788,0.0705,0.02,0.0071,0.0008,0.0003
Halys Q.,0.5993,0.1095,0.0594,0.0263,0.0112,0.0029,0.0003
Altmaier D.,0.6023,0.2226,0.0823,0.0352,0.0065,0.0026,0.0003
Royer V.,0.4945,0.1968,0.0612,0.0088,0.0025,0.0005,0.0002
Etcheverry T.,0.5916,0.3332,0.0775,0.0305,0.01,0.0015,0.0002
Basavareddy N.,0.548,0.1546,0.0733,0.0206,0.0046,0.0008,0.0002
Buse I.,0.5779,0.2693,0.0938,0.0351,0.0123,0.0023,0.0002
Merida Aguilar D.,0.5702,0.2792,0.1232,0.0435,0.0169,0.0023,0.0002
Sonego L.,0.0987,0.0473,0.0203,0.0081,0.0031,0.0011,0.0002
Griekspoor T.,0.265,0.128,0.0591,0.0193,0.0026,0.0009,0.0002
Medjedovic H.,0.4894,0.2265,0.0825,0.0306,0.008,0.0011,0.0002
Fucsovics M.,0.4298,0.1465,0.0505,0.0137,0.005,0.0006,0.0002
Giron M.,0.4221,0.1594,0.0476,0.0175,0.0059,0.001,0.0002
Hijikata R.,0.2172,0.1021,0.0471,0.0177,0.0055,0.0013,0.0002
Mochizuki S.,0.2349,0.1191,0.0389,0.0109,0.0031,0.001,0.0001
Burruchaga R.,0.3819,0.0913,0.0373,0.0128,0.0031,0.0006,0.0001
Sweeny D.,0.4088,0.1042,0.0424,0.0073,0.0022,0.0008,0.0001
Kopriva V.,0.4084,0.2037,0.048,0.0186,0.0056,0.0008,0.0001
Svajda Z.,0.3977,0.1156,0.0352,0.0131,0.0027,0.0004,0.0001
Carreno Busta P.,0.3014,0.1436,0.0353,0.0115,0.0016,0.0002,0.0001
De Jong J.,0.6481,0.2758,0.0895,0.0273,0.0062,0.0016,0.0001
Zheng M.,0.4615,0.1319,0.0469,0.0157,0.0032,0.0011,0.0001
Taberner C.,0.3574,0.1908,0.0575,0.0152,0.0026,0.0004,0.0001
Kecmanovic M.,0.3457,0.1274,0.0379,0.011,0.0014,0.0002,0.0001
Marozsan F.,0.5385,0.18,0.0854,0.0391,0.0089,0.0026,0.0001
Van Assche L.,0.2862,0.1237,0.0411,0.0124,0.0011,0.0003,0.0001
Safiullin R.,0.0605,0.0319,0.0167,0.0058,0.0014,0.0005,0.0001
Schoolkate T.,0.452,0.1084,0.0419,0.0092,0.0018,0.0005,0.0001
Prizmic D.,0.5077,0.1809,0.0668,0.007,0.0016,0.0004,0.0001
Brooksby J.,0.5084,0.0402,0.023,0.0086,0.0023,0.0003,0.0001
Monfils G.,0.4328,0.0932,0.0282,0.0079,0.0019,0.0005,0.0001
Wong C.,0.2582,0.1224,0.0417,0.0047,0.0014,0.0006,0.0001
Wendelken H.,0.251,0.1018,0.0256,0.0037,0.0013,0.0004,0.0001
Bellucci M.,0.608,0.1377,0.0532,0.02,0.0064,0.0018,0.0001
Popyrin A.,0.3894,0.1628,0.0279,0.0096,0.0031,0.0009,0.0001
Walton A.,0.4295,0.1911,0.0136,0.0046,0.0008,0.0002,0.0001
Arnaldi M.,0.5885,0.3444,0.0319,0.0123,0.0037,0.0014,0.0001
Wolf J.J.,0.2019,0.0543,0.0114,0.001,0.0001,0.0,0.0
Duckworth J.,0.4115,0.1793,0.0156,0.0057,0.0011,0.0001,0.0
Wu Y.,0.5705,0.2852,0.0255,0.0097,0.0024,0.0006,0.0
Harris L.,0.459,0.0669,0.0172,0.0027,0.0003,0.0002,0.0
Samuel T.,0.2785,0.0715,0.0158,0.0047,0.0002,0.0002,0.0
Svrcina D.,0.5055,0.1964,0.0619,0.0134,0.0035,0.0009,0.0
Kennedy J.,0.541,0.0919,0.0247,0.0067,0.0009,0.0002,0.0
Shevchenko A.,0.4923,0.1686,0.0499,0.0062,0.0012,0.0003,0.0
Mannarino A.,0.3439,0.1259,0.0471,0.0048,0.0014,0.0003,0.0
Kokkinakis T.,0.2024,0.0893,0.029,0.0086,0.0018,0.0002,0.0
Barrios Vera M.T.,0.2665,0.1021,0.022,0.0041,0.0004,0.0001,0.0
Guerrieri A.,0.207,0.0823,0.036,0.0099,0.0024,0.0003,0.0
Dzumhur D.,0.319,0.0778,0.0263,0.0053,0.0005,0.0001,0.0
Passaro F.,0.3519,0.1254,0.0323,0.0074,0.0017,0.0002,0.0
Trungelliti M.,0.4743,0.2042,0.0628,0.0175,0.0036,0.0003,0.0
Comesana F.,0.2132,0.1096,0.0517,0.0126,0.0025,0.0005,0.0
Misolic F.,0.2635,0.1126,0.0307,0.011,0.0035,0.0008,0.0
Diaz Acosta F.,0.4007,0.0533,0.0197,0.0066,0.002,0.0006,0.0
Gorzny S.,0.3565,0.0886,0.031,0.0083,0.0017,0.0001,0.0
Ugo Carabelli C.,0.4052,0.1493,0.0386,0.0142,0.004,0.0005,0.0
Piros Z.,0.392,0.0687,0.0213,0.0056,0.001,0.0001,0.0
Shimabukuro S.,0.3142,0.1032,0.0271,0.0065,0.0012,0.0,0.0
Blanch D.,0.0695,0.0195,0.003,0.0005,0.0002,0.0001,0.0
Kovacevic A.,0.3003,0.1052,0.0265,0.0069,0.0023,0.0003,0.0
Vallejo D.,0.5672,0.1742,0.0684,0.0215,0.0059,0.0011,0.0
Vukic A.,0.5475,0.1225,0.0426,0.0112,0.0026,0.0,0.0
Sakamoto R.,0.4525,0.0925,0.0304,0.0083,0.002,0.0002,0.0
Damm M.,0.1551,0.0815,0.0262,0.0071,0.0008,0.0001,0.0
Mpetshi Perricard G.,0.556,0.1716,0.0566,0.0161,0.0042,0.0006,0.0
Rodionov J.,0.444,0.1183,0.0336,0.009,0.0019,0.0002,0.0
Cina F.,0.2504,0.0587,0.0165,0.0026,0.0007,0.0,0.0
Fearnley J.,0.4373,0.1801,0.0288,0.0088,0.0019,0.0001,0.0
Shang J.,0.5257,0.236,0.0838,0.0223,0.007,0.0019,0.0
Wawrinka S.,0.2692,0.0353,0.0159,0.005,0.0008,0.0,0.0
